Reportin+A5+A1:J1+A1:L2,Project Status,Donor,Programme Organization,Programme Organization Type,Implementing agency Name ,Implementing agency Acronym,Implementing agencyType,Region,Zone,Woreda,Kebele/IDP site name,HNO Woreda Pcode,Response Plan,Sector,ClusterActivities
February,On-going,BHA,Alight,International NGO,Alight,Alight,International NGO,Tigray,Mekelle,Mekelle,Hayelom,ET010701,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,BHA,Alight,International NGO,Alight,Alight,International NGO,Tigray,Mekelle,Mekelle,Hayelom,ET010701,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Ngstesaba preparatory,ET010212,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Ngstesaba preparatory,ET010212,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Araya-Kahsu,ET010213,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Ezana,ET010213,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Kindeya Kebele,ET010213,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Hawelti Kebele,ET010213,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Adwa elementary,ET010212,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Adwa elementary,ET010212,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Ngstesaba High school,ET010212,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Araya-Kahsu,ET010213,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Ezana,ET010213,Emergency,Protection,CP_MHPSS
